证券代码,证券简称,股票英文简称,"注册资本
[单位] 元",公司中文名称,公司英文名称,"公司属性
[交易日期] 最新收盘日","企业规模
[交易日期] 最新收盘日",主营产品名称,主营产品类型,公司简介,经营范围,"所属Wind行业名称
","所属证监会行业名称
",所属申万行业名称,"所属中信行业名称
","总股本
[交易日期] 最新
[单位] 股","总市值1
[交易日期] 最新收盘日
[币种] 原始币种
[单位] 元",new
301368.SZ,丰立智能,FORE,"120,100,000.00",浙江丰立智能科技股份有限公司,"Zhejiang Fore Intelligent Technology Co.,Ltd",民营企业,中型,齿轮箱及零部件、粉末冶金制品、钢齿轮、精密机械件、气动工具,专用设备与零部件,公司始建于1995年，智能驱动研造与系统集成服务商，国家高新技术企业，是全国小模数齿轮工作委员会副主任单位，荣获国家级专精特新“小巨人”企业、德国博世“全球供应商奖”等荣誉；建有机械工业小模数螺旋锥齿轮工程研究中心、丰立小模数齿轮省级高新技术企业研究开发中心等，主要产品包括钢齿轮、精密减速器及零部件、精密机械件、粉末冶金制品以及气动工具等产品。,"一般项目：智能机器人的研发；齿轮及齿轮减、变速箱制造；齿轮及齿轮减、变速箱销售；工业机器人销售；工业机器人制造；高速精密齿轮传动装置销售；锻件及粉末冶金制品制造；锻件及粉末冶金制品销售；通用设备制造(不含特种设备制造)；液压动力机械及元件制造；液压动力机械及元件销售；气压动力机械及元件制造；气压动力机械及元件销售；模具制造；模具销售；汽车零配件零售；汽车零部件及配件制造；技术进出口；货物进出口(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)。(分支机构经营场所设在:浙江省台州市黄岩区院桥镇三丰路1号)。",工业,制造业,机械设备,机械,"120,100,000.00","5,792,423,000.00","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将浙江丰立智能科技股份有限公司简称为丰立智能，请对其进行打分。近日，丰立智能连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
688719.SH,爱科赛博,ACTIONPOWER,"82,480,000.00",西安爱科赛博电气股份有限公司,"Xi'an Actionpower Electric Co., Ltd.",民营企业,中型,IDE Action2020测试软件平台、定制电能质量控制设备、定制特种电源、轨道交通电源、航空保障电源、加速器电源、配网电能质量控制设备、通用测试电源、通用电能质量控制设备、专用测试装备、自动化测试系统,系统集成服务、专用设备与零部件,公司深耕电力电子领域，通过不断研发新技术、开发新产品、拓展下游应用领域，积累了大批优质客户，包括华为、比亚迪、阳光电源、汇川技术、固德威等知名企业，中国科学院、上海电器科学研究所、TUV(南德)认证等科研及检测认证机构，以及中航集团、航空工业集团、中国航天科技集团、国家铁路集团、中国铁建、中国中铁、国家电网、南方电网等大型央企下属企业。公司专注于电力电子领域20余年，以电力电子变换和控制技术为基础，构建了高密度功率变换技术、高精度智能控制技术和产品化支撑技术三大技术平台。基于三大技术平台的多项关键技术，公司打造了具有竞争力的软硬件产品平台，支撑主营业务快速发展。通过持续高强度投入研发，公司取得了显著的科技成果，曾获得国家科技进步二等奖、陕西省科学技术奖、上海市科技进步奖广西科学技术奖，行业学会奖项。,一般经营项目：电力电子变流器产品、交直流电源产品、电能质量控制产品、新能源和智能微电网电能变换产品、电气控制监测和工业自动化产品、电气成套设备和软件的研发、生产、销售及相关技术服务；电气工程及自动化项目的设计、咨询、开发、工程总包和服务。(以上经营范围除国家专控及前置许可项目)。,工业,制造业,电力设备,电力设备及新能源,"82,480,000.00","5,790,096,000.00","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将西安爱科赛博电气股份有限公司简称为爱科赛博，请对其进行打分。近日，爱科赛博连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
300696.SZ,爱乐达,ALD,"293,152,983.00",成都爱乐达航空制造股份有限公司,Chengdu Ald Aviation Manufacturing Corporation,民营企业,中型,接头、框、肋、梁、支座、组件,航空零部件,"公司立足航空领域，主要从事军用飞机和民用客机零部件的精密加工业务。公司设立十余年来，累积参与了多种型号涉及3,000余项航空零部件的配套研制及生产，积累了丰富的精密加工技术和经验，并形成了一批广泛应用于公司主营业务的核心技术和专利。公司坚持“军民融合，一体两翼”的发展思路，同时开展军品和民品业务。经过多年潜心经营，凭借创新的技术优势、高水平的生产管理及质量控制优势，公司已与行业主要客户建立了广泛而深入的合作关系，客户覆盖中航工业下属多家军机主机厂、成飞民机等多家民用客机分承制厂，以及一批航空装备主修厂和多家科研院所。公司高度重视技术研发，形成了高精度盲孔加工、复杂深腔钛合金类零件加工等数十项关键核心技术，部分飞机零部件的加工技术达到国内先进水平。公司产品加工良品率达到99.50%以上，处于行业先进水平，获得中航工业下属飞机制造单位“优秀供应商”荣誉。",机械零部件、模具、机电设备、电子元器件、成套电缆及电缆线束总成的设计、制造、销售；飞机零部件、地面设备的研发、制造、修理、技术服务及销售；飞机零部件的特种检测、理化试验及热表处理；货物及技术进出口（以上经营项目不含前置许可项目、后置许可项目凭许可证或审批文件经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,工业,制造业,国防军工,国防军工,"293,152,983.00","5,789,771,414.25","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将成都爱乐达航空制造股份有限公司简称为爱乐达，请对其进行打分。近日，爱乐达连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
603867.SH,新化股份,ZHEJIANG XINHUA CHEMICAL,"185,591,287.00",浙江新化化工股份有限公司,"Zhejiang Xinhua Chemical Co., Ltd.",公众企业,大型,新化股份超级檀香208、新化股份二氢月桂烯、新化股份二氢月桂烯醇、新化股份二乙胺、新化股份三乙胺、新化股份双氧水、新化股份檀香208、新化股份一乙胺、新化股份异丙胺、新化股份异丙醇、新化股份异丙醚,化学试剂,公司为从事脂肪胺、有机溶剂、香料香精、双氧水及其他精细化工产品的国家高新技术企业，公司坚持―科技为本，创新发展‖的经营战略，以打造―健康、安全、绿色、环保‖的新型现代化工企业为目标，已形成多元化、规模化、科技含量较高、工艺技术较为先进的脂肪胺系列、有机溶剂系列和合成香料香精系列产品；其中，异丙胺、乙基胺产品采用自行开发的生产工艺及催化剂，生产过程采用DCS系统控制，产品质量达到国外同类产品质量指标。公司已通过了ISO9001:2008质量管理体系认证、ISO14001:2004环境管理体系认证、OHSAS18001:2007职业健康安全管理体系认证及两化融合管理体系认证。公司建有浙江省博士后科研工作站、―新化高级胺省级高新技术研究开发中心‖、浙江省企业技术中心和省级新材料企业研究院，先后获得了浙江省标准创新型企业、浙江省质量管理体系认证示范企业、中国质量诚信企业、全国石化行业先进集体、中国石油和化工企业500强、制造业单项冠军产品(工业用一异丙胺)等荣誉或称号。,双氧水、化学原料及化学制品的生产(涉及前置审批的产品凭有效许可证经营)，危险化学品经营(《中华人民共和国危险化学品经营许可证》、《全国工业产品生产许可证》)。香料香精、化肥(仅限氮、钾肥及复合肥)、食品添加剂的生产(凭有效许可证经营)，压力容器的设计、压力管道的设计(凭有效许可证经营)，机械制造、加工、化工设备安装(凡涉特种设备的凭有效许可证经营)，经营进出口业务。,材料,制造业,基础化工,基础化工,"185,591,287.00","5,788,592,241.53","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将浙江新化化工股份有限公司简称为新化股份，请对其进行打分。近日，新化股份连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
300520.SZ,科大国创,GUOCHUANG,"247,385,700.00",科大国创软件股份有限公司,"Guochuang Software Co.,Ltd.",民营企业,大型,软件开发、新能源汽车电池管理系统技术,行业专用软件、系统集成服务,公司是一家专业从事信息领域的技术研究与产品开发，面向大型行业进行信息化建设与咨询、应用软件开发与服务的国家重点软件企业、国家高新技术企业，是中国信息技术产品研发与整体解决方案领先供应商。公司获准建立了国家博士后科研工作站、安徽省计算与通讯软件重点实验室、安徽省电信软件工程研究中心、安徽省电信软件工程技术研究中心、安徽省企业技术中心。经过多年市场打造，公司已经从一家专业从事计算机软件研究性的公司，成长为国内大型行业应用软件产品与服务的领先供应商。未来公司致力于成具有自主知识产权、技术领先、服务创新的国际著名高科技企业。2018年，公司收购了贵博新能，贵博新能是一家专业从事新能源汽车电池管理系统技术及相关产品的研发、生产、销售和技术服务的高新技术企业，致力于成为以电池管理系统为核心的新能源汽车电源系统总成提供商。公司将成功切入新能源汽车BMS领域，实现公司现有数据采集、存储、管理和分析业务链向数据产生端进行延伸，为公司智能汽车领域和智能交通领域的智能应用软件产品开发打下坚实的基础。,一般项目：软件开发；网络与信息安全软件开发；软件销售；信息系统集成服务；计算机系统服务；大数据服务；信息系统运行维护服务；人工智能理论与算法软件开发；人工智能基础软件开发；人工智能基础资源与技术平台；人工智能应用软件开发；人工智能行业应用系统集成服务；人工智能硬件销售；5G通信技术服务；工业互联网数据服务；云计算装备技术服务；云计算设备销售；物联网技术研发；物联网技术服务；物联网应用服务；物联网设备销售；数据处理和存储支持服务；信息技术咨询服务；软件外包服务；网络技术服务；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；互联网数据服务；互联网设备销售；储能技术服务；电池制造；电池销售；新能源汽车电附件销售；新能源汽车换电设施销售；汽车零部件研发；汽车零部件及配件制造；智能控制系统集成；工程和技术研究和试验发展；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：建筑智能化系统设计；建设工程施工；第一类增值电信业务；第二类增值电信业务；出版物批发；出版物互联网销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,信息技术,信息传输、软件和信息技术服务业,计算机,计算机,"247,385,700.00","5,786,351,523.00","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将科大国创软件股份有限公司简称为科大国创，请对其进行打分。近日，科大国创连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
300225.SZ,金力泰,KNT,"489,205,300.00",上海金力泰化工股份有限公司,"Shanghai Kinlita Chemical Co., Ltd.",公众企业,中型,电泳漆涂料、光丽洁涂料、面漆、陶瓷涂料,染料及颜料、涂料与油漆,公司是集科研、生产、销售和服务于一体的工业涂料自主品牌领军企业和上市公司(SZ.300225)，也是中国自主品牌中唯一一家能向汽车工业同时大规模提供阴极电泳及面漆涂料的全系列供应商，立足于发展符合环保节能要求的新型高性能涂料产品。公司专注提供涂料产品，种类丰富，包括底材前处理试剂、阴极电泳涂料、水性及溶剂型汽车面漆涂料、汽车低温涂料、汽车内外饰件涂料、水性及溶剂型工程机械涂料、水性及溶剂型防腐涂料、水性陶瓷涂料，旨在为客户提供专业的涂装解决方案。目前，公司拥有近千家客户，汽车涂料产销量居国内前列，阴极电泳涂料的市场占有率处于领先地位，陶瓷涂料的应用技术处于领导地位，其他工业涂料呈强劲发展趋势。,制造、加工高性能涂料产品、溶剂、添加剂，销售自产产品，在国内外提供相关的技术咨询和售后服务，从事相关化工材料和涂料产品的进出口贸易(成品油等特殊化学品除外，涉及许可经营的凭许可证经营)。,材料,制造业,基础化工,基础化工,"489,205,300.00","5,782,406,646.00","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将上海金力泰化工股份有限公司简称为金力泰，请对其进行打分。近日，金力泰连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
300718.SZ,长盛轴承,CSB,"298,867,830.00",浙江长盛滑动轴承股份有限公司,"Zhejiang Changsheng Sliding Bearings Co.,Ltd.",民营企业,大型,工程塑料轴承、金属基自润滑轴承、金属塑料聚合物自润滑卷制轴承、双金属边界润滑卷制轴承、铜基边界润滑卷制轴承、纤维缠绕轴承,专用设备与零部件,公司是专业从事自润滑轴承的研发、生产和销售的高新技术企业。主要产品双金属自润滑轴承、金属塑料自润滑轴承、金属基自润滑轴承、塑料自润滑轴承，出口欧美、日本等多个国家和地区，主要用于汽车、工程机械、农业机械、建筑机械、轻工机械、高速高精数控机床等领域，自润滑轴承已成为轴承行业发展较快的子行业之一。公司拥有省级研究院、省级创新团队，具有较强的自主创新能力。公司先后被评为高新技术企业、浙江省创新型示范企业、浙江省专利示范企业、嘉善高分子材料省级高新技术特色产业基地骨干企业等。公司是全国滑动轴承标准化技术委员会自润滑轴承分技术委员会首届秘书处单位，是行业标准的主要制定者之一。,生产销售自润滑、固体润滑、水润滑、双金属、含油粉末冶金的滑动轴承、轴瓦、滑块、垫片及其半成品、结构零部件和与产品相配套的专用设备；从事进出口业务(国家限制、禁止的除外)；从事普通货物运输及房产出租业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),工业,制造业,机械设备,机械,"298,867,830.00","5,780,103,832.20","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将浙江长盛滑动轴承股份有限公司简称为长盛轴承，请对其进行打分。近日，长盛轴承连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
002362.SZ,汉王科技,HANVON,"244,454,646.00",汉王科技股份有限公司,"Hanwang Technology Co.,Ltd",民营企业,大型,PC人脸识别登陆系统、汉王E摘客、汉王笔、汉王笔迹王、汉王触摸屏、汉王电纸书D21、汉王电纸书N510、汉王电纸书N516、汉王电纸书N518、汉王高速扫描仪、汉王绘图板、汉王名片通、汉王企业票据通系统、汉王嵌入式OCR技术、汉王手写电脑、汉王手写芯片(手写模块)HW006、汉王速录笔、汉王文本王、汉王文本仪、汉王砚鼠、企业表格自动录入解决方案、企业订单自动录入解决方案、企业票据自动录入归档管理系统、人脸识别考勤机、人脸识别门禁机、人脸识别门禁考勤机、税控器及税控收款机、增值税发票自动录入防伪解决方案、证照王证照扫描仪,电子测试和测量仪器、行业专用软件、其他消费电子产品,公司是国内人工智能产业的先行者，是人脸识别、大数据、智能交互技术、产品及服务的提供商。公司以核心技术为基础，面向市场需求，已形成了以识别技术为核心的、针对不同细分市场的软硬件产品系列，既有通用产品，如e典笔、汉王电纸书、汉王笔、文本王、名片通、绘图板等，也有针对教育、金融等行业应用的文表识别解决方案；既有手写手机、OCR等多种技术授权方案，也有辅助方案实施的硬件产品，如证照识别等。公司是全球文字识别技术与智能交互产品引领者，多年来，通过不断自主创新，在手写识别、光学字符识别(OCR)、笔迹输入等领域拥有多项具有自主知识产权的核心技术，综合技术水平在国内外均处于领先地位，手写汉字识别获得国家科技进步一等奖，OCR获得国家科技进步二等奖。,许可项目：第二类增值电信业务；出版物互联网销售；电子出版物制作。一般项目：软件开发；办公设备销售；计算器设备销售；信息技术咨询服务；软件销售；数字视频监控系统销售；商用密码产品销售；人工智能基础资源与技术平台；人工智能行业应用系统集成服务；第一类医疗器械销售；第二类医疗器械销售；玩具销售；人工智能硬件销售；人工智能理论与算法软件开发；大数据服务；数据处理服务；数据处理和存储支持服务；数字文化创意内容应用服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；集成电路设计；电子产品销售；技术进出口；货物进出口；承接档案服务外包；智能机器人的研发；智能机器人销售；服务消费机器人销售；服务消费机器人制造；智能无人飞行器销售；智能无人飞行器制造；以自有资金从事投资活动。,信息技术,制造业,计算机,计算机,"244,454,646.00","5,778,907,831.44","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将汉王科技股份有限公司简称为汉王科技，请对其进行打分。近日，汉王科技连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
301172.SZ,君逸数码,JOYOU,"123,200,000.00",四川君逸数码科技股份有限公司,"Sichuan Joyou Digital Technologies Co.,Ltd.",民营企业,中型,君逸数码智慧公安解决方案、君逸数码智慧管廊解决方案、君逸数码智慧交通解决方案、君逸数码智慧市政解决方案,系统集成服务,发行人是一家专业的智慧城市综合解决方案提供商，主营业务是为智慧城市领域客户提供系统集成服务、运维服务和自研产品销售等产品和服务。发行人主要采用物联网、云计算、大数据、人工智能、BIM等新一代信息应用技术，为客户提供集“应用软件定制开发”和“智能化、信息化系统集成服务”为一体的智慧城市行业综合解决方案，业务环节涵盖智慧城市项目的技术咨询、方案设计、软硬件的开发、系统集成、项目实施和运营维护等。发行人以智能视频分析技术、音视频接入和处理技术、地理空间信息处理技术、物联网边缘服务网关技术、能源管理节能技术、大数据平台技术等核心技术作为技术支撑，根据客户的个性化和定制化需求，为政府机关、国有企事业单位用户提供智慧市政、智慧管廊、智慧公安、智慧交通及智慧楼宇、智慧场馆、智慧金融安防、智慧校园等领域的智慧城市综合解决方案。,许可项目：建筑智能化系统设计；建设工程设计；测绘服务；建设工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：计算机软硬件及外围设备制造【分支机构经营】；光通信设备制造【分支机构经营】；电子元器件制造【分支机构经营】；安防设备制造【分支机构经营】；软件开发；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；光通信设备销售；电子元器件零售；安防设备销售；智能控制系统集成；计算机系统服务；信息系统集成服务；人工智能行业应用系统集成服务；大数据服务；安全系统监控服务；安全技术防范系统设计施工服务；园林绿化工程施工（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,信息技术,信息传输、软件和信息技术服务业,计算机,计算机,"123,200,000.00","5,778,080,000.00","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将四川君逸数码科技股份有限公司简称为君逸数码，请对其进行打分。近日，君逸数码连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
688053.SH,思科瑞,SCREEN,"100,000,000.00",成都思科瑞微电子股份有限公司,"Chengdu Screen Micro-Electronics Co.,Ltd.",民营企业,大型,分立器件测试与可靠性筛选试验、集成电路测试与可靠性筛选、技术开发与支持、晶圆测试业务、破坏性物理分析（DPA）、其他元器件的测试与可靠性筛选试验、阻容感测试与可靠性筛选试验,电子测试和测量仪器,公司主要聚焦国防科技工业的半导体和集成电路、电子信息领域，公司拥有开展军用电子元器件可靠性检测服务的相关资质，包括中国合格评定国家认可委员会(CNAS)实验室认可、中国国防科技工业实验室认可委员会(DILAC)实验室认可、检验检测机构资质认定证书(CMA)以及武器装备质量管理体系认证证书等。公司的主要客户为军工集团下属企业以及为军工企业配套的电子厂商，可靠性检测服务涉及的主要军工集团包括中国航天科技集团、中国航天科工集团、中国航空工业集团、中国航空发动机集团、中国船舶重工集团、中国船舶工业集团、中国兵器工业集团、中国兵器装备集团、中国电子科技集团、中国电子信息产业集团等。,电子元器件的测试、筛选、监制验收、失效分析、破坏性物理分析（DPA）；电子元器件研发、设计、封装、检测、销售；软件开发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,信息技术,科学研究和技术服务业,国防军工,电子,"100,000,000.00","5,777,000,000.00","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将成都思科瑞微电子股份有限公司简称为思科瑞，请对其进行打分。近日，思科瑞连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
002733.SZ,雄韬股份,VISION GROUP,"384,214,913.00",深圳市雄韬电源科技股份有限公司,"Shenzhen Center Power Tech Co., Ltd",民营企业,大型,雄韬阀控式密封铅酸蓄电池、雄韬锂离子电池,电子设备及加工,公司是全球最大的蓄电池生产企业之一，是一个以中国深圳为管理中心，在中国大陆、欧洲、中国香港、越南、印度拥有制造基地或销售服务中心、分销网络遍布全球的企业集团。自成立以来，公司坚持走技术创新、管理创新之路，成长为中国蓄电池行业外向型企业的领导性力量。其中铅酸蓄电池业务连续多年位列中国密封铅酸蓄电池出口量第一。公司产品涵盖密封铅酸、锂离子电池两大品类，是中国产品品类最为齐全的电池品牌之一；密封铅酸蓄电池涵盖AGM、深循环、胶体、纯铅三大系列，锂离子电池涵盖钴酸锂、锰酸锂、磷酸铁锂；其中磷酸铁锂为国家火炬计划重点项目和深圳市科技资助项目。公司正在全球百余个国家和地区的通讯、电动交通工具、光伏、风能、电力、UPS、电子及数码设备等领域为客户提供完善的产品应用与技术服务；公司先后评获“国家高新技术企业”、“深圳市民营企业50强”、“中国优秀民营科技企业”、“深圳市高新技术企业”、“深圳市民营领军骨干企业”等殊荣。,一般经营项目：研制、开发、销售、改进电源开关及检测设备及零配件，各种电源零配件，新型充电电池，锌离子电池，动力电池系统、电池管理系统，风力发电机组，太阳能、风能、生物质能、海洋能、风光互补供电系统及其系列产品（以上不含专营、专控、专卖商品及限制项目）；新能源节能技术开发、节能技术服务、节能技术咨询、方案设计；合同能源管理；风电场、新能源用户侧并网及并网电站的投资、设计、技术咨询与企业管理；施工总承包、专业承包；经营进出口业务。社会经济咨询服务；信息咨询服务（不含许可类信息咨询服务）；市场营销策划；市场调查（不含涉外调查）；会议及展览服务；广告设计、代理；广告制作。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）；电气设备销售；储能技术服务；智能输配电及控制设备销售；物联网技术研发；物联网技术服务；配电开关控制设备销售；光伏设备及元器件销售；光伏发电设备租赁；信息系统集成服务；智能控制系统集成。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：开发、生产、销售、维修、租赁阀控式密封铅酸蓄电池及相关系统和零部件、锂离子电池及系统和零部件、燃料电池及系统和零部件、UPS（不间断电源）及零部件、储能电池及系统和零部件、风力发电机组及电动车、充电桩、盒及配套系统（不含易燃易爆有毒危险品及其他限制项目）；锂离子电池、锂聚合物电池、燃料电池等新能源电池的梯次利用、处置的技术研发、生产和销售；充电站投资建设、经营及维护；普通货运。,工业,制造业,电力设备,电力设备及新能源,"384,214,913.00","5,774,750,142.39","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将深圳市雄韬电源科技股份有限公司简称为雄韬股份，请对其进行打分。近日，雄韬股份连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
605338.SH,巴比食品,ZHONGYIN BABI FOOD,"250,113,750.00",中饮巴比食品股份有限公司,"Zhongyin Babi Food Co.,Ltd.",民营企业,大型,包子类产品、馒头、粗粮点心类产品、外部采购产品、馅料系列产品,食品经销,"公司自成立以来，专业从事中式面点速冻食品的研发、生产与销售，致力于“工业化生产，全冷链配送，直营、加盟、团体供餐为一体”的经营模式，是一家“连锁门店销售为主，团体供餐销售为辅”的中式面点速冻食品制造企业。本公司产品可以分为面点系列产品、馅料系列产品以及外部采购系列产品，具体包括包子、馒头、粗粮点心、馅料以及粥品饮品等，共计近百余种产品。发行人在上海、广州建立了食品加工生产基地、在北京地区委托第三方生产，通过标准化的供应链管理体系、线下网点布局、品牌终端管理，形成遍布全国几十座城市的门店网络。截至2018年末，公司拥有15家直营店、2,641家加盟门店，公司建立了以加盟门店销售为主，直营店及团餐销售等相结合的营销体系，每日为上百万顾客服务。",食品流通，食品生产，食品科技领域内的技术开发、技术转让、技术咨询、技术服务，餐饮企业管理，食用农产品、厨房设备、电器设备、电子产品、百货、服装鞋帽、广告灯箱、包装材料的销售，粮食收购，投资管理，实业投资，投资咨询，企业管理咨询，自有房屋租赁，自有设备租赁，道路货物运输，广告设计、制作，展览展示服务，从事货物及技术的进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,日常消费,制造业,食品饮料,食品饮料,"250,113,750.00","5,772,625,350.00","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将中饮巴比食品股份有限公司简称为巴比食品，请对其进行打分。近日，巴比食品连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
300066.SZ,三川智慧,SANCHUAN  WISDOM,"1,040,033,262.00",三川智慧科技股份有限公司,"Sanchuan Wisdom Technology Co.,Ltd.",民营企业,大型,45°弯头--PP-R管材管件、90°弯头--PP-R管材管件、90°异径弯头--PP-R管材管件、DN15、20小口径旋翼式单流束水表、DN15～150液封旋翼式水表、DN15～40小口径旋翼式节水型水表、DN50大口径旋翼式节水型水表、DN80～100大口径旋翼式节水型水表、DN80～200大口径水平螺翼式水表、LXL-80～200水平螺翼(可拆式)水表、LXSR－15～50热水表、WS50～150大口径垂直螺翼可拆水表、表前阀、代码式预付费水表、等径三通--PP-R管材管件、低压损复式水表、电磁流量计、多路共管供水系统、阀表一体化基表、非接触式卡式水表(射频卡水表)、复式节水型水表、管堵--PP-R管材管件、光电直读远传水表、红冲铜接管、接触式卡式水表(IC卡水表)、水表箱、铜表壳-单流束水表表壳、铜表壳-外调式水表表壳、铜表壳-智能式、铜表罩、铜接管、铜压环、网络远传水表、无线阀控表、无线远传水表(双向)、小机芯智能基表(冷、热水)、异径三通--PP-R管材管件、异径直通--PP-R管材管件、正四通--PP-R管材管件、直通--PP-R管材管件、智慧水务管理系统,高分子聚合物、工程仪器仪表、铜、系统集成服务,公司目前所从事的主要业务包括以智能水表特别是物联网水表为核心产品的各类水表、水务管理应用系统、水务投资运营、供水企业产销差与DMA分区管理、健康饮水服务、智慧水务数据云平台建设等，致力成为世界先进的水计量功能服务商、智慧水务整体解决方案提供商。公司拥有独立完整的研发、生产、销售与服务体系，根据市场需求及自身情况独立进行生产经营与服务活动。公司结合智能水表特别是物联网水表的销售，加快水务信息化管理系统的推广应用，积极介入水务大数据及其增值服务，为供水企业乃至整个城市提供包括水资源监测、管网监控、水质检测、用水调度、产销差管理在内的整体解决方案。,机械水表、智能水表、仪器仪表、管材管件、阀门、净水设备的研发、生产、销售；通讯设备、电子配件、无线数据终端的生产、组装和销售；计算机软硬件及信息集成系统、公用事业自动化系统、水务自动化和信息化系统及通信技术、电子科技、信息科技、数据科技、网络科技领域内的技术开发、技术转让、技术咨询、技术服务；公共基础设施、管网工程、计算机网络工程、通讯工程、供排水及水处理工程的设计、施工、安装、调试、维修及技术咨询服务；太阳能光伏发电及其应用系统的咨询、设计、安装、调试、维护；新能源、节能相关技术的研发、转让、咨询、服务；合同能源管理及咨询服务；水处理设备及系统的开发、设计、安装、销售及售后服务，用户终端直饮水系统的设计、安装、服务和直饮水供应；经营本企业自产产品及技术的出口业务和本企业所需的机器设备、零配件、原辅材料及技术的进口业务（国家限定公司经营或禁止进出口的商品及技术除外）。,工业,制造业,机械设备,机械,"1,040,033,262.00","5,772,184,604.10","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将三川智慧科技股份有限公司简称为三川智慧，请对其进行打分。近日，三川智慧连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
